/scratch/fpga-user/joonho-firesim-private/target-design/chipyard/software/embench/build-x86
name,xeon-ipc
aha-mont64,2.2673410707416615
huffbench,1.4560029342769514
picojpeg,2.464188901012175
statemate,1.469915958007624
cubic,1.0008875430138402
nsichneu,1.9405082060153218
nettle-sha256,2.4802575278871943
matmult-int,1.9813952984977705
slre,2.1690759206224572
sglib-combined,1.6707058626204354
wikisort,1.2832832206623108
minver,1.5644972512155677
crc32,1.4546186474865186
ud,1.404488054798507
qrduino,1.1372345528323733
edn,2.7470417581529385
st,0.9592591369220007
nettle-aes,2.873261762406545
nbody,0.9609094842623399
